,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
186,2200 Từ vựng tiếng Anh thông dụng nhất nt,https://salt.tikicdn.com/cache/280x280/ts/product/f0/01/fa/ee9a00d35b39e689923c78315fd2064a.jpg,Tiếng Anh,"Vậy làm thế nào để học từ vựng tiếng Anh?Từ vựng là xương sống của ngôn ngữ! Nếu vốn từ của bạn không đủ lớn, bạn sẽ không thể hiểu người khác đang nói gì và lại càng không thể diễn đạt những gì mình...",115700.0,,,The Wendy,,,,,2200 Từ vựng tiếng Anh thông dụng nhất nt,https://salt.tikicdn.com/cache/280x280/ts/product/f0/01/fa/ee9a00d35b39e689923c78315fd2064a.jpg,Tiếng Anh,The Wendy,"Vậy làm thế nào để học từ vựng tiếng Anh?Từ vựng là xương sống của ngôn ngữ! Nếu vốn từ của bạn không đủ lớn, bạn sẽ không thể hiểu người khác đang nói gì và lại càng không thể diễn đạt những gì mình...",115700.0,MCBOOKS,,Bìa mềm,,Nhà Xuất Bản Hồng Đức,,,
187,Từ Điển Tiếng Anh Bằng Hình Đầu Tiên Của Bé,https://salt.tikicdn.com/cache/280x280/ts/product/28/17/55/814f8b05f6ccd2fbebd9b6488d15e22d.jpg,Tiếng Anh,"Từ Điển Tiếng Anh Bằng Hình Đầu Tiên Của BéBé yêu của bạn đang ở vào độ tuổi từ 3-5, ba mẹ muốn bé tập làm quen với tiếng Anh để sớm phát triển khả năng ngoại ngữ? Làm thế nào để biến việc học nặng n...",22500.0,19x27,31.0,Nguyễn Hoàng Thanh Ly,,,,,Từ Điển Tiếng Anh Bằng Hình Đầu Tiên Của Bé,https://salt.tikicdn.com/cache/280x280/ts/product/28/17/55/814f8b05f6ccd2fbebd9b6488d15e22d.jpg,Tiếng Anh,Nguyễn Hoàng Thanh Ly,"Từ Điển Tiếng Anh Bằng Hình Đầu Tiên Của BéBé yêu của bạn đang ở vào độ tuổi từ 3-5, ba mẹ muốn bé tập làm quen với tiếng Anh để sớm phát triển khả năng ngoại ngữ? Làm thế nào để biến việc học nặng n...",22500.0,Nhà Sách Hồng Ân,2018-07-01 00:00:00,Bìa mềm,31.0,Nhà Xuất Bản Tổng hợp TP.HCM,19x27,,
188,Từ Điển Anh - Việt (Hơn 350.000 Từ) - Tái Bản(Tặng Kèm Bookmark PL),https://salt.tikicdn.com/cache/280x280/ts/product/3f/6a/cb/54e4d22e8c0c8334953c18067fc259e3.jpg,Tiếng Anh,Từ Điển Anh - ViệtĐây là cuốn từ điển được biên dịch dựa theo cuốn từ điển Oxford là một công trình liên tục được đổi mới và công bố bởi một nhà xuất bản uy tín trên thế giới với nhiều ấn phẩm k...,147000.0,<p>17.5 x 11.5 x 6.5 cm</p>,,The Windy,,,,,Từ Điển Anh - Việt (Hơn 350.000 Từ) - Tái Bản(Tặng Kèm Bookmark PL),https://salt.tikicdn.com/cache/280x280/ts/product/3f/6a/cb/54e4d22e8c0c8334953c18067fc259e3.jpg,Tiếng Anh,The Windy,Từ Điển Anh - ViệtĐây là cuốn từ điển được biên dịch dựa theo cuốn từ điển Oxford là một công trình liên tục được đổi mới và công bố bởi một nhà xuất bản uy tín trên thế giới với nhiều ấn phẩm k...,147000.0,MCBOOKS,,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,<p>17.5 x 11.5 x 6.5 cm</p>,,
189,Từ Điển Anh - Việt 110.000 Từ (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/e1/a7/8d/59488a70394832e98e44a8a2d587b124.jpg,Tiếng Anh,"Hơn 110,000 mục từ, với khoảng 20.000 từ mới thuộc các lĩnh vực công nghệ thông tin, văn hóa xã hội, kinh tế, y học, giáo dục,...ốn từ điển này chắc chắn sẽ đáp ứng đầy đủ nhu cầu học tập, tra cứu và dị...",98400.0,,,Việt Fame,,,,,Từ Điển Anh - Việt 110.000 Từ (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/e1/a7/8d/59488a70394832e98e44a8a2d587b124.jpg,Tiếng Anh,Việt Fame,"Hơn 110,000 mục từ, với khoảng 20.000 từ mới thuộc các lĩnh vực công nghệ thông tin, văn hóa xã hội, kinh tế, y học, giáo dục,...ốn từ điển này chắc chắn sẽ đáp ứng đầy đủ nhu cầu học tập, tra cứu và dị...",98400.0,Cty Văn Hóa Văn Lang,,,,Nhà Xuất Bản Hồng Đức,,,
190,Từ Điển Anh - Việt 75.000 Từ (Văn Lang),https://salt.tikicdn.com/cache/280x280/ts/product/2b/66/c1/05450c187fe52c3a33b09e5b53b3ccd1.jpg,Tiếng Anh,"            Từ Điển Anh - Việt 75.000 Từ (Văn Lang)        Hơn 75.000 từ thông dụng bao gồm nhiều lĩnh vực: công nghệ thông tin, khoa học kĩ thuật, văn hóa xã hội. giáo dục, y học,    âm nhạc, ...",48000.0,10 x 17 cm,693.0,Việt Fame,,,,,Từ Điển Anh - Việt 75.000 Từ (Văn Lang),https://salt.tikicdn.com/cache/280x280/ts/product/2b/66/c1/05450c187fe52c3a33b09e5b53b3ccd1.jpg,Tiếng Anh,Việt Fame,"            Từ Điển Anh - Việt 75.000 Từ (Văn Lang)        Hơn 75.000 từ thông dụng bao gồm nhiều lĩnh vực: công nghệ thông tin, khoa học kĩ thuật, văn hóa xã hội. giáo dục, y học,    âm nhạc, ...",48000.0,VanLangBooks,2018-01-01 00:00:00,Bìa mềm,693.0,Nhà Xuất Bản Hồng Đức,10 x 17 cm,,
191,Từ Điển Anh - Việt Dành Cho Học Sinh (25.000 Từ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img373_1_10.jpg,Tiếng Anh,Từ Điển Anh - Việt Dành Cho Học Sinh (25.000 Từ) Tiếng Anh ngày càng có vai trò quan trọng trong đời sống. Đây là ngôn ngữ được sử dụng ở nhiều quốc gia nhất và đang là công cụ hữu hiệu giúp chúng ta...,44000.0,11 x 18 cm,502.0,Mạnh Tuấn - Huy Hoàng,,,,,Từ Điển Anh - Việt Dành Cho Học Sinh (25.000 Từ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img373_1_10.jpg,Tiếng Anh,Mạnh Tuấn - Huy Hoàng,Từ Điển Anh - Việt Dành Cho Học Sinh (25.000 Từ) Tiếng Anh ngày càng có vai trò quan trọng trong đời sống. Đây là ngôn ngữ được sử dụng ở nhiều quốc gia nhất và đang là công cụ hữu hiệu giúp chúng ta...,44000.0,Tân Việt,2013-12-15 00:00:00,Bìa mềm,502.0,Nhà Xuất Bản Từ Điển Bách Khoa,11 x 18 cm,,
192,Từ Điển Anh Việt 75000 Mục Từ Và Định Nghĩa (Bìa Mềm) (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/7c/45/c0/5037b6bb710c641f753a1bd34f416f71.jpg,Tiếng Anh,"Trong xu thế mở cửa hội nhập hiện nay, tiếng Anh ngày càng trở nên một nhu cầu không thể thiếu. Do đó chúng tôi đã tổ chức biên soạn cuốn Từ điển Anh - Việt này theo các tiêu...",91500.0,10.5 x 17 cm,1152.0,"Minh Tân,Mạnh Tường",,,,,Từ Điển Anh Việt 75000 Mục Từ Và Định Nghĩa (Bìa Mềm) (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/7c/45/c0/5037b6bb710c641f753a1bd34f416f71.jpg,Tiếng Anh,"Minh Tân,Mạnh Tường","Trong xu thế mở cửa hội nhập hiện nay, tiếng Anh ngày càng trở nên một nhu cầu không thể thiếu. Do đó chúng tôi đã tổ chức biên soạn cuốn Từ điển Anh - Việt này theo các tiêu...",91500.0,Nhà sách Minh Thắng,2021-09-15 00:00:00,Bìa mềm,1152.0,Nhà Xuất Bản Hồng Đức,10.5 x 17 cm,,
193,Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian),https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia.u2469.d20161212.t133014.619922.png,Tiếng Anh,Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian) Cuốn Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian) mang những lợi thế của 1 cuốn từ điển Anh - Anh - Việt Oxford đúng chuẩn...,172250.0,11.5 x 17.5 cm,1570.0,The Windy,,,,,Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian),https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia.u2469.d20161212.t133014.619922.png,Tiếng Anh,The Windy,Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian) Cuốn Từ Điển Anh - Anh - Việt (Phiên Bản Đặc Biệt - Múa Dân Gian) mang những lợi thế của 1 cuốn từ điển Anh - Anh - Việt Oxford đúng chuẩn...,172250.0,MCBOOKS,2016-12-01 00:00:00,Bìa cứng,1570.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,11.5 x 17.5 cm,,
194,Từ Điển Anh - Anh Việt 150.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/51/28/61/44795f3b8149157931dec13303d849a0.jpg,Tiếng Anh,"Từ Điển Anh - Anh Việt 150.000 TừLà cuốn từ điển nhằm giúp bạn đọc có một công cụ hữu ích trong việc tra cứu nhanh các từ tiếng Anh, các thuật ngữ chuyên ngành,... Nó sẽ phục vụ đắc lực cho độc giả tron...",64000.0,10x18,1008.0,Nguyễn Hoàng Sơn,,,,,Từ Điển Anh - Anh Việt 150.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/51/28/61/44795f3b8149157931dec13303d849a0.jpg,Tiếng Anh,Nguyễn Hoàng Sơn,"Từ Điển Anh - Anh Việt 150.000 TừLà cuốn từ điển nhằm giúp bạn đọc có một công cụ hữu ích trong việc tra cứu nhanh các từ tiếng Anh, các thuật ngữ chuyên ngành,... Nó sẽ phục vụ đắc lực cho độc giả tron...",64000.0,Nhà Sách Hồng Ân,2018-04-01 00:00:00,Bìa mềm,1008.0,Nhà Xuất Bản Thanh Niên,10x18,,
195,Từ Điển Việt - Anh Thông Dụng,https://salt.tikicdn.com/cache/280x280/ts/product/b1/49/6b/282191f7aa991186529da2190cae69ec.jpg,Tiếng Anh,"Trong xu thế toàn cầu hóa diễn ra ngày càng sôi động như hiện nay, tầm quan trọng của ngoại ngữ là không thể phủ nhận. Tiếng Anh đã và đang trở thành một công cụ hữu ích để nhiều người phát triển tươn...",46400.0,,,"Nguyễn Trọng Báu, Bùi Phụng",,,,,Từ Điển Việt - Anh Thông Dụng,https://salt.tikicdn.com/cache/280x280/ts/product/b1/49/6b/282191f7aa991186529da2190cae69ec.jpg,Tiếng Anh,"Nguyễn Trọng Báu, Bùi Phụng","Trong xu thế toàn cầu hóa diễn ra ngày càng sôi động như hiện nay, tầm quan trọng của ngoại ngữ là không thể phủ nhận. Tiếng Anh đã và đang trở thành một công cụ hữu ích để nhiều người phát triển tươn...",46400.0,NXB Thế Giới,,,,,,,
196,Từ điển Anh Việt bìa đỏ cứng Tái bản mới nhất - Sách học từ vựng Tiếng Anh Học nhanh Nhớ lâu  Giấy nhớ PS,https://salt.tikicdn.com/cache/280x280/ts/product/55/03/33/7684a5c20d2b2a542ccf351374dc4590.jpeg,Tiếng Anh,"  Bạn là người đã có nền tảng cơ bản về ngữ âm, ngữ pháp nhưng vốn từ vựng lại ít?Bạn là người tự tin trong giao tiếp tiếng anh nhưng đôi khi không thể truyền tải hết ý của mình vì th...",214560.0,,,Nhiều Tác Giả,,,,,Từ điển Anh Việt bìa đỏ cứng Tái bản mới nhất - Sách học từ vựng Tiếng Anh Học nhanh Nhớ lâu  Giấy nhớ PS,https://salt.tikicdn.com/cache/280x280/ts/product/55/03/33/7684a5c20d2b2a542ccf351374dc4590.jpeg,Tiếng Anh,Nhiều Tác Giả,"  Bạn là người đã có nền tảng cơ bản về ngữ âm, ngữ pháp nhưng vốn từ vựng lại ít?Bạn là người tự tin trong giao tiếp tiếng anh nhưng đôi khi không thể truyền tải hết ý của mình vì th...",214560.0,MCBOOKS,2020-04-14 13:27:20,,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
197,Từ Điển Anh Việt 225000 Mục Từ Và Định Nghĩa (Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/06/3a/f2/2712ee5f7584e31d408fd41ef4191d63.jpg,Tiếng Anh,"Từ Điển Anh - Việt (225.000 Mục từ và định nghĩa) cung cấp danh sách các từ (được sắp xếp theo thứ tự ABC), giải thích rõ ràng cụ thể các vấn đề có liên quan: ý nghĩa, từ nguyên, cách dùng, dịch, cách...",90000.0,10x17cm,1256.0,"Minh Tân,Mạnh Tường",,,,,Từ Điển Anh Việt 225000 Mục Từ Và Định Nghĩa (Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/06/3a/f2/2712ee5f7584e31d408fd41ef4191d63.jpg,Tiếng Anh,"Minh Tân,Mạnh Tường","Từ Điển Anh - Việt (225.000 Mục từ và định nghĩa) cung cấp danh sách các từ (được sắp xếp theo thứ tự ABC), giải thích rõ ràng cụ thể các vấn đề có liên quan: ý nghĩa, từ nguyên, cách dùng, dịch, cách...",90000.0,Nhà sách Minh Thắng,2019-11-01 00:00:00,Bìa mềm,1256.0,Nhà Xuất Bản Hồng Đức,10x17cm,,
198,Từ Điển Anh - Anh - Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/ae/0f/b7/2248f4da2b68a5e75e8f41caf6d554da.jpg,Tiếng Anh,"Cuốn từ điển đặc biệt phù hợp với học sinh học tiếng Anh, thể hiện ở những mục từ mới mẻ, cập nhật, những lời giải thích ngắn gọn mà rõ ràng, kèm với những ví dụ cụ thể mà sinh động, những mẫu câu, kế...",103350.0,10.5 x 16 cm,838.0,The Windy,,,,,Từ Điển Anh - Anh - Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/ae/0f/b7/2248f4da2b68a5e75e8f41caf6d554da.jpg,Tiếng Anh,The Windy,"Cuốn từ điển đặc biệt phù hợp với học sinh học tiếng Anh, thể hiện ở những mục từ mới mẻ, cập nhật, những lời giải thích ngắn gọn mà rõ ràng, kèm với những ví dụ cụ thể mà sinh động, những mẫu câu, kế...",103350.0,MCBOOKS,,Bìa mềm,838.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,10.5 x 16 cm,The Windy,
199,Từ Điển Anh - Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/e4/0f/5d/5c7b66ab8257263e237e0c00f0ed67b1.jpg,Tiếng Anh,"Cuốn từ điển đặc biệt phù hợp với học sinh học tiếng Anh, thể hiện ở những mục từ mới mẻ, cập nhật, những lời giải thích ngắn gọn mà rõ ràng, kèm với những ví dụ cụ thể mà sinh động, những mẫu câu, kế...",127200.0,10.5 x 16 cm,838.0,The Windy,,,,,Từ Điển Anh - Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/e4/0f/5d/5c7b66ab8257263e237e0c00f0ed67b1.jpg,Tiếng Anh,The Windy,"Cuốn từ điển đặc biệt phù hợp với học sinh học tiếng Anh, thể hiện ở những mục từ mới mẻ, cập nhật, những lời giải thích ngắn gọn mà rõ ràng, kèm với những ví dụ cụ thể mà sinh động, những mẫu câu, kế...",127200.0,MCBOOKS,,Bìa mềm,838.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,10.5 x 16 cm,The Windy,
200,Ứng Dụng Siêu Trí Nhớ 4000 Từ Vựng Tiếng Anh Thông Dụng Nhất (Tặng kèm Bookmark PL),https://salt.tikicdn.com/cache/280x280/ts/product/0c/c2/d4/9b796cfc9ff89d12b36fdd37f84f90be.jpg,Tiếng Anh,"Ứng dụng siêu trí nhớ 4000 từ vựng tiếng Anh thông dụng nhấtTrong việc học ngoại ngữ nói chung và tiếng Anh nói riêng, từ vựng là nguyên liệu quan trọng nhất để bạn có thể giao tiếp thành công!Từ vựng...",89250.0,<p>10 x 15 cm</p>,468.0,The Windy,,,,,Ứng Dụng Siêu Trí Nhớ 4000 Từ Vựng Tiếng Anh Thông Dụng Nhất (Tặng kèm Bookmark PL),https://salt.tikicdn.com/cache/280x280/ts/product/0c/c2/d4/9b796cfc9ff89d12b36fdd37f84f90be.jpg,Tiếng Anh,The Windy,"Ứng dụng siêu trí nhớ 4000 từ vựng tiếng Anh thông dụng nhấtTrong việc học ngoại ngữ nói chung và tiếng Anh nói riêng, từ vựng là nguyên liệu quan trọng nhất để bạn có thể giao tiếp thành công!Từ vựng...",89250.0,MCBOOKS,,Bìa mềm,468.0,Nhà Xuất Bản Hồng Đức,<p>10 x 15 cm</p>,,
201,Từ Điển Oxford Anh Việt 350.000 Từ (Hộp Cứng Xanh),https://salt.tikicdn.com/cache/280x280/ts/product/c0/d4/36/ae115e3390092431d7c3bf0b66f8701f.jpg,Tiếng Anh,"Từ điển Oxford Anh ViệtTừ điển Oxford Anh – Việt do công ty cổ phần sách MCBooks liên kết xuất bản và phát hành tại Việt Nam hiện đang được bán rất chạy trên thị trường cả nước, được đánh giá là cuốn...",193700.0,<p>17.5 x 11.5 x 7.5 cm</p>,1664.0,The Windy,,,,,Từ Điển Oxford Anh Việt 350.000 Từ (Hộp Cứng Xanh),https://salt.tikicdn.com/cache/280x280/ts/product/c0/d4/36/ae115e3390092431d7c3bf0b66f8701f.jpg,Tiếng Anh,The Windy,"Từ điển Oxford Anh ViệtTừ điển Oxford Anh – Việt do công ty cổ phần sách MCBooks liên kết xuất bản và phát hành tại Việt Nam hiện đang được bán rất chạy trên thị trường cả nước, được đánh giá là cuốn...",193700.0,MCBOOKS,2018-03-13 16:31:29,Bìa cứng,1664.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,<p>17.5 x 11.5 x 7.5 cm</p>,,
202,Từ Điển Oxford Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/f9/0c/ef/46613fa2509c2e04184443cf27e53200.jpg,Tiếng Anh,"Cuốn Từ Điển Anh-Việt 350.000 Từ này được biên soạn theo Oxford Dictionary: - Cập nhật hơn 350.000 từ mới thuộc các lĩnh vực - Giải nghĩa đầy đủ, ví dụ phong phú - Trình bày ngắn gọn, khoa học, dễ sử ...",158400.0,,,The Windy,,,,,Từ Điển Oxford Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/f9/0c/ef/46613fa2509c2e04184443cf27e53200.jpg,Tiếng Anh,The Windy,"Cuốn Từ Điển Anh-Việt 350.000 Từ này được biên soạn theo Oxford Dictionary: - Cập nhật hơn 350.000 từ mới thuộc các lĩnh vực - Giải nghĩa đầy đủ, ví dụ phong phú - Trình bày ngắn gọn, khoa học, dễ sử ...",158400.0,MCBOOKS,,,,,,,
203,Từ Điển Anh - Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/26/1d/18/c7abaedbdd86d26f2845a9bdc8437578.jpg,Tiếng Anh,"Thưa quý vị độc giả! Quý vị đã có một lựa chọn đúng đắn, vì quý vị đang cầm trên tay một công cụ hữu ích để tra cứu, để tìm hiểu và học hỏi ngôn ngữ Anh, văn hóa Anh, văn học Anh. Đây là cuốn từ điển ...",193700.0,11.5 x 17.5 cm,1664.0,The Windy,,,,,Từ Điển Anh - Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/26/1d/18/c7abaedbdd86d26f2845a9bdc8437578.jpg,Tiếng Anh,The Windy,"Thưa quý vị độc giả! Quý vị đã có một lựa chọn đúng đắn, vì quý vị đang cầm trên tay một công cụ hữu ích để tra cứu, để tìm hiểu và học hỏi ngôn ngữ Anh, văn hóa Anh, văn học Anh. Đây là cuốn từ điển ...",193700.0,MCBOOKS,2020-08-15 00:00:00,Bìa cứng,1664.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,11.5 x 17.5 cm,,
204,Từ Điển Oxford Anh Anh Việt 350.000 Từ hộp vàng cứng (Tăng Kèm Thẻ 360 Động Từ Bất Quy Tắc Trong Tiếng Anh﻿),https://salt.tikicdn.com/cache/280x280/ts/product/7a/48/50/b14f067f82be4b60aa817863e76e0540.jpg,Tiếng Anh,"Từ điển Oxford Anh – Việt của MCBooks có 2 mẫu mã, 2 màu sắc, 2 loại bìa cứng và mềm cho bạn lựa chọn. Với hơn 350.000 từ được chọn lọc dựa trên phiên bản mới nhất của Oxford và Cambridge, thêm 85 phụ...",193700.0,,1664.0,The Windy,,,,,Từ Điển Oxford Anh Anh Việt 350.000 Từ hộp vàng cứng (Tăng Kèm Thẻ 360 Động Từ Bất Quy Tắc Trong Tiếng Anh﻿),https://salt.tikicdn.com/cache/280x280/ts/product/7a/48/50/b14f067f82be4b60aa817863e76e0540.jpg,Tiếng Anh,The Windy,"Từ điển Oxford Anh – Việt của MCBooks có 2 mẫu mã, 2 màu sắc, 2 loại bìa cứng và mềm cho bạn lựa chọn. Với hơn 350.000 từ được chọn lọc dựa trên phiên bản mới nhất của Oxford và Cambridge, thêm 85 phụ...",193700.0,MCBOOKS,2019-10-10 15:15:11,Bìa cứng,1664.0,,,,
205,Từ Điển Việt Anh Trên 135.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/44/66/01/b3e4a80c2585889caf5f30dacb3d894e.jpg,Tiếng Anh,"Nhằm đáp ứng nhu cầu học tiếng Anh đa dạng của nhiều người. Nhóm chúng tôi đã biên soạn cuốn từ điển Anh – Việt này để phục vụ cho người học tiếng Anh thuộc mọi trình độ.Sách được biên soạn kỹ lưỡng,...",82200.0,14.5 x 20.5 cm,952.0,Trần Mạnh Tường,,,,,Từ Điển Việt Anh Trên 135.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/44/66/01/b3e4a80c2585889caf5f30dacb3d894e.jpg,Tiếng Anh,Trần Mạnh Tường,"Nhằm đáp ứng nhu cầu học tiếng Anh đa dạng của nhiều người. Nhóm chúng tôi đã biên soạn cuốn từ điển Anh – Việt này để phục vụ cho người học tiếng Anh thuộc mọi trình độ.Sách được biên soạn kỹ lưỡng,...",82200.0,Nhà sách Minh Thắng,2018-01-10 00:00:00,Bìa mềm,952.0,Nhà Xuất Bản Hồng Đức,14.5 x 20.5 cm,,
206,Từ Điển Anh - Việt 80.000 Từ (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/52/9f/80/1d6e81356dabeb810caf0131066aa87c.jpg,Tiếng Anh,"Nghĩa của từ được giải thích chính xác, đầy đủ, ngắn gọn, dễ hiểu.Hầu hết các ví dụ đều được trích dẫn từ ca dao, tục ngữ, thành ngữ và văn học cổ điển đã trở thành mẫu mực trong hành ngôn của người ...",67500.0,10 x 17 cm,960.0,Việt Fame,,,,,Từ Điển Anh - Việt 80.000 Từ (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/52/9f/80/1d6e81356dabeb810caf0131066aa87c.jpg,Tiếng Anh,Việt Fame,"Nghĩa của từ được giải thích chính xác, đầy đủ, ngắn gọn, dễ hiểu.Hầu hết các ví dụ đều được trích dẫn từ ca dao, tục ngữ, thành ngữ và văn học cổ điển đã trở thành mẫu mực trong hành ngôn của người ...",67500.0,VanLangBooks,2021-01-01 10:03:07,Bìa mềm,960.0,Nhà Xuất Bản Hồng Đức,10 x 17 cm,Hội Ngôn Ngữ Học TP.HCM Hiệu đính,
207,Từ Điển Oxford Anh - Anh - Việt (Bìa Vàng) Tặng kèm bookmark TH,https://salt.tikicdn.com/cache/280x280/ts/product/78/37/74/41ad02baff30180907636c23a3e1a930.jpg,Tiếng Anh,"Cuốn sách này dành cho ai ?Bạn là người đã có nền tảng cơ bản về ngữ âm, ngữ pháp nhưng vốn từ vựng lại ít?Bạn là người tự tin trong giao tiếp tiếng anh nhưng đôi khi không thể truyền tải hết ý của...",235000.0,,1570.0,Nhiều Tác Giả,,,,,Từ Điển Oxford Anh - Anh - Việt (Bìa Vàng) Tặng kèm bookmark TH,https://salt.tikicdn.com/cache/280x280/ts/product/78/37/74/41ad02baff30180907636c23a3e1a930.jpg,Tiếng Anh,Nhiều Tác Giả,"Cuốn sách này dành cho ai ?Bạn là người đã có nền tảng cơ bản về ngữ âm, ngữ pháp nhưng vốn từ vựng lại ít?Bạn là người tự tin trong giao tiếp tiếng anh nhưng đôi khi không thể truyền tải hết ý của...",235000.0,MCBOOKS,,Bìa cứng,1570.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
208,Từ Điển Anh - Việt (Hơn 350.000 Từ) - Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/bf/72/dc/37881c9a6b7c7117e14fa9dabb586253.jpg,Tiếng Anh,Từ Điển Anh - ViệtĐây là cuốn từ điển được biên dịch dựa theo cuốn từ điển Oxford là một công trình liên tục được đổi mới và công bố bởi một nhà xuất bản uy tín trên thế giới với nhiều ấn phẩm kh...,158400.0,<p>17.5 x 11.5 x 6.5 cm</p>,1572.0,The Windy,,,,,Từ Điển Anh - Việt (Hơn 350.000 Từ) - Tái Bản,https://salt.tikicdn.com/cache/280x280/ts/product/bf/72/dc/37881c9a6b7c7117e14fa9dabb586253.jpg,Tiếng Anh,The Windy,Từ Điển Anh - ViệtĐây là cuốn từ điển được biên dịch dựa theo cuốn từ điển Oxford là một công trình liên tục được đổi mới và công bố bởi một nhà xuất bản uy tín trên thế giới với nhiều ấn phẩm kh...,158400.0,MCBOOKS,2018-03-13 15:54:17,Bìa mềm,1572.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,<p>17.5 x 11.5 x 6.5 cm</p>,,
209,Từ Điển Trực Quan Bỏ Túi Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/d4/a9/bd/68ea7c7874d5f6202c897546ecaf4903.jpg,Tiếng Anh,Nếu bạn muốn học từ tiếng Anh hiệu quả và nhanh chóng mở rộng vốn từ thì đây là tài liệu lý tưởng dành cho bạn.Quyển từ điển này cung cấp hơn 4.000 từ vựng (có phiên âm) thông qua 100 chủ đề liên qua...,159300.0,10.5 x 15 cm,210.0,Larousse,,,,,Từ Điển Trực Quan Bỏ Túi Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/d4/a9/bd/68ea7c7874d5f6202c897546ecaf4903.jpg,Tiếng Anh,Larousse,Nếu bạn muốn học từ tiếng Anh hiệu quả và nhanh chóng mở rộng vốn từ thì đây là tài liệu lý tưởng dành cho bạn.Quyển từ điển này cung cấp hơn 4.000 từ vựng (có phiên âm) thông qua 100 chủ đề liên qua...,159300.0,Nhân Trí Việt,2019-01-08 00:00:00,Bìa mềm,210.0,Nhà Xuất Bản Tổng Hợp,10.5 x 15 cm,,
